"filename", "language", "TypeScript", "Svelte", "HTML", "JavaScript", "JSON with Comments", "JSON", "Markdown", "Ignore", "Prisma", "SQL", "comment", "blank", "total"
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/avatar/avatar-image.svelte", "Svelte", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/avatar/avatar.svelte", "Svelte", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/avatar/index.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/badge/badge.svelte", "Svelte", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/badge/index.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/button/button.svelte", "Svelte", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/button/index.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 51
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/calendar-cell.svelte", "Svelte", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/calendar-day.svelte", "Svelte", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/calendar-grid-body.svelte", "Svelte", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/calendar-grid-head.svelte", "Svelte", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/calendar-grid-row.svelte", "Svelte", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/calendar-grid.svelte", "Svelte", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Users/ovv/dev/monochrome-me/src/lib/components/ui/calendar/calendar-head-cell.svelte", "Svelte", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
